"endTime","artistName","trackName","msPlayed"
"2022-05-01 00:59","Young Thug","Relationship (feat. Future)",69147
"2022-05-01 01:01","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",133333
"2022-05-01 01:03","Kanye West","Gold Digger",124854
"2022-05-01 01:05","Grimlxck","EA FREESTYLE - Remix",2410
"2022-05-01 01:05","MelOnMarz","EA - remix",170
"2022-05-01 01:05","Gunna","pushin P (feat. Young Thug)",124138
"2022-05-01 01:12","Young Nudy","EA (feat. 21 Savage)",435196
"2022-05-01 02:23","Young Nudy","EA (feat. 21 Savage)",262908
"2022-05-01 02:26","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-01 02:29","Future","VOODOO (feat. Kodak Black)",211133
"2022-05-01 04:35","Future","KEEP IT BURNIN (feat. Kanye West)",196580
"2022-05-01 04:38","Pusha T","Let The Smokers Shine The Coupes",150276
"2022-05-01 04:39","Kanye West","Jesus Lord",30300
"2022-05-01 04:41","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-01 04:45","Future","VOODOO (feat. Kodak Black)",192454
"2022-05-01 04:48","Future","I'M ON ONE (feat. Drake)",178282
"2022-05-01 04:50","Gunna","P power (feat. Drake)",9066
"2022-05-01 04:50","Lil Baby","Never Recover (Lil Baby & Gunna, Drake)",18730
"2022-05-01 04:50","Gunna","pushin P (feat. Young Thug)",3263
"2022-05-01 04:50","Aditya2546","Quandale Dingle",1898
"2022-05-01 04:51","Gunna","pushin P (feat. Young Thug)",53930
"2022-05-01 04:56","Gunna","Oh Okay (feat. Young Thug & Lil Baby)",182454
"2022-05-01 04:59","Gunna","pushin P (feat. Young Thug)",136266
"2022-05-01 05:00","Gunna","Sold Out Dates (feat. Lil Baby)",96293
"2022-05-01 05:03","Gunna","DOLLAZ ON MY HEAD (feat. Young Thug)",197760
"2022-05-01 05:04","Gunna","pushin P (feat. Young Thug)",1950
"2022-05-01 05:07","Gunna","3 Headed Snake (feat. Young Thug)",231340
"2022-05-01 05:09","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",124450
"2022-05-01 05:12","Pooh Shiesty","Switch it Up (feat. G Herbo, No More Heroes)",168648
"2022-05-01 05:14","Pooh Shiesty","Box of Churches (feat. 21 Savage)",123820
"2022-05-01 05:17","Future","KEEP IT BURNIN (feat. Kanye West)",450
"2022-05-01 05:17","Pooh Shiesty","Welcome to the Riches (feat. Lil Baby)",5950
"2022-05-01 05:17","Pooh Shiesty","Drop Some Shit",155294
"2022-05-01 05:17","Pooh Shiesty","Certified (feat. Gunna)",516
"2022-05-01 05:19","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",133333
"2022-05-01 05:20","Rich Gang","Lifestyle",60459
"2022-05-01 19:13","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",5574
"2022-05-01 19:17","tana","off the leash! (feat. yvngxchris and Luisss)",221980
"2022-05-01 19:20","Young Nudy","EA (feat. 21 Savage)",227175
"2022-05-01 19:23","Yeat","Monëy so big",160052
"2022-05-01 19:25","lil Shordie Scott","Rocking A Cardigan in Atlanta",96825
"2022-05-01 19:28","tana","Antisocial (feat. Slump6s)",175333
"2022-05-01 19:30","Tae Retro","Phil Jackson",146494
"2022-05-01 19:34","Young Nudy","EA (feat. 21 Savage)",227175
"2022-05-01 22:12","Yeat","Monëy so big",24454
"2022-05-01 22:14","tana","off the leash! (feat. yvngxchris and Luisss)",125098
"2022-05-01 22:16","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",133333
"2022-05-01 22:17","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",5418
"2022-05-01 22:17","Flatbush Zombies","Your Favorite Rap Song",2913
"2022-05-01 22:37","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",73813
"2022-05-01 22:38","Pusha T","Let The Smokers Shine The Coupes",2816
"2022-05-01 22:39","Future","VOODOO (feat. Kodak Black)",102698
"2022-05-01 22:42","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-01 22:44","BROCKHAMPTON","IF YOU PRAY RIGHT",104646
"2022-05-01 22:45","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",74261
"2022-05-02 00:47","Gunna","poochie gown",20928
"2022-05-02 01:06","tana","off the leash! (feat. yvngxchris and Luisss)",124010
"2022-05-02 01:08","100 gecs","stupid horse (Remix) [feat. GFOTY & Count Baldor]",132469
"2022-05-02 03:45","Roddy Ricch","The Box",29697
"2022-05-02 03:47","tana","off the leash! (feat. yvngxchris and Luisss)",124458
"2022-05-02 03:49","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-02 03:53","Vince Staples","Norf Norf",183160
"2022-05-02 03:54","Pop Smoke","Hello (feat. A Boogie Wit da Hoodie)",113733
"2022-05-02 04:00","tana","off the leash! (feat. yvngxchris and Luisss)",132351
"2022-05-02 04:03","Joey Trap","Tables",3126
"2022-05-02 04:03","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",171648
"2022-05-02 04:12","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",201024
"2022-05-02 14:36","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-02 14:38","Tyler, The Creator","HOT WIND BLOWS (feat. Lil Wayne)",155292
"2022-05-02 14:39","Yung Lean","Boylife in EU",59168
"2022-05-02 14:41","tana","off the leash! (feat. yvngxchris and Luisss)",130922
"2022-05-02 14:42","Jack Harlow","OnnaWay",9920
"2022-05-02 14:44","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",133333
"2022-05-02 14:46","BROCKHAMPTON","STAINS",86881
"2022-05-02 14:46","Future","VOODOO (feat. Kodak Black)",1045
"2022-05-02 14:49","tana","off the leash! (feat. yvngxchris and Luisss)",150730
"2022-05-02 14:52","Future","KEEP IT BURNIN (feat. Kanye West)",180640
"2022-05-02 16:48","Future","PUFFIN ON ZOOTIEZ",171180
"2022-05-02 16:50","tana","off the leash! (feat. yvngxchris and Luisss)",124530
"2022-05-02 16:53","Buckshot","Barn Owls",135000
"2022-05-02 16:55","Pusha T","Let The Smokers Shine The Coupes",150276
"2022-05-02 16:57","Bladee","Side by Side",136447
"2022-05-02 16:58","Joey Trap","Tables",23
"2022-05-02 16:58","Kanye West","Come to Life",2880
"2022-05-02 16:59","Kanye West","Ghost Town",78698
"2022-05-02 17:02","Bladee","Thee 9 Is Up",184026
"2022-05-02 17:03","Kanye West","No Mistakes",13660
"2022-05-02 17:08","Denzel Curry","Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]",264613
"2022-05-02 17:10","Buckshot","Keepe Out",152843
"2022-05-02 17:18","Meek Mill","R.I.C.O. (feat. Drake)",5562
"2022-05-02 17:18","Tyler, The Creator","PUPPET",16661
"2022-05-02 17:18","Kanye West","Blood On The Leaves",359800
"2022-05-02 17:22","Future","I'M ON ONE (feat. Drake)",236186
"2022-05-02 17:25","Tay-K","M.... She Wrote",1109
"2022-05-02 17:25","Playboi Carti","wokeuplikethis*",175217
"2022-05-02 17:25","BROCKHAMPTON","1997 DIANA",3797
"2022-05-02 17:25","BROCKHAMPTON","1997 DIANA",1408
"2022-05-02 17:25","BROCKHAMPTON","1998 TRUMAN",234
"2022-05-02 17:25","BROCKHAMPTON","1998 TRUMAN",1386
"2022-05-02 17:26","iann dior","Prospect (ft. Lil Baby)",1322
"2022-05-02 17:26","Juice WRLD","Bad Boy (with Young Thug)",1344
"2022-05-02 17:26","KIDS SEE GHOSTS","Fire",1237
"2022-05-02 17:26","Playboi Carti","Shoota (feat. Lil Uzi Vert)",2261
"2022-05-02 17:26","Frank Ocean","Godspeed",1066
"2022-05-02 17:26","City Morgue","THE ELECTRIC EXPERIENCE",2133
"2022-05-02 17:26","Childish Gambino","53.49",1706
"2022-05-02 17:26","GoldLink","U Say (feat. Tyler, The Creator & Jay Prince)",1983
"2022-05-02 17:26","Playboi Carti","New Choppa",1258
"2022-05-02 17:26","Drake","Free Smoke",1258
"2022-05-02 17:26","Flatbush Zombies","Your Favorite Rap Song",4373
"2022-05-02 17:26","Yo Gotti","Castro (feat. Kanye West, Big Sean, Quavo & 2 Chainz)",1856
"2022-05-02 17:29","Tyler, The Creator","IGOR'S THEME",200693
"2022-05-02 17:32","Migos","Need It",195680
"2022-05-02 17:33","BROCKHAMPTON","OLD NEWS (feat. Baird)",5597
"2022-05-02 17:36","BROCKHAMPTON","OLD NEWS (feat. Baird)",187813
"2022-05-02 19:48","BROCKHAMPTON","BUZZCUT (feat. Danny Brown)",219857
"2022-05-02 19:48","JACKBOYS","WHAT TO DO? (feat. Don Toliver)",2391
"2022-05-02 19:51","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-02 19:52","Denzel Curry","Zatoichi [Feat. slowthai]",67548
"2022-05-02 19:52","Young Stoner Life","Take It To Trial (feat. Yak Gotti)",3711
"2022-05-02 21:01","Gunna","DOLLAZ ON MY HEAD (feat. Young Thug)",91029
"2022-05-02 21:01","Gunna","Oh Okay (feat. Young Thug & Lil Baby)",704
"2022-05-02 21:01","Gunna","Car Sick (feat. NAV & Metro Boomin)",234
